Tanggal Prediksi,NVDA,AAPL,GOOGL,005930.KS,9988.HK,000660.KQ,AMD,0700.HK,TSLA,ORCL,AMZN,INTC,MSFT,SONY,1810.HK
18/07/2025,110.75,209.43,161.72,55604.74,107.1,183676.91,97.5,461.13,278.78,147.02,189.27,20.26,383.25,15.96,20.1
21/07/2025,110.76,209.43,161.72,55604.78,107.1,183676.94,97.5,461.13,278.74,147.02,189.27,20.26,383.26,15.82,19.64
22/07/2025,110.75,209.55,161.72,55604.75,107.09,183677.48,97.51,461.13,278.76,147,189.26,20.26,383.27,15.69,19.17
23/07/2025,110.75,209.52,161.72,55604.76,107.1,183677.53,97.52,461.13,278.77,147.02,189.26,20.26,383.26,15.55,18.7
24/07/2025,110.77,209.53,161.72,55604.3,107.1,183697.64,97.51,461.13,278.71,147.02,189.27,20.26,383.26,15.42,18.23
25/07/2025,110.79,209.44,161.72,55604.26,107.1,183682.32,97.5,461.13,278.72,147.02,189.28,20.26,383.26,15.29,17.76
28/07/2025,110.8,209.44,161.73,55610.78,107.1,183682.4,97.5,461.12,278.73,147.02,189.27,20.26,383.27,15.17,17.29
29/07/2025,110.74,209.56,161.73,55611.07,107.09,183686.72,97.5,461.14,278.76,147,189.28,20.26,383.27,15.04,16.82
30/07/2025,110.74,209.54,161.72,55611.39,107.09,183689.42,97.51,461.14,278.74,147.02,189.28,20.26,383.27,14.92,16.35
31/07/2025,110.75,209.54,161.72,55611.63,107.1,183680.84,97.5,461.14,278.69,147.03,189.28,20.26,383.27,14.79,15.88
01/08/2025,110.78,209.45,161.72,55612.25,107.1,183620.85,97.49,461.14,278.69,147.03,189.28,20.26,383.27,14.67,15.42
04/08/2025,110.76,209.44,161.65,55602.67,107.09,183651.38,97.51,461.42,278.78,146.92,189.27,20.12,383.26,14.54,14.95
05/08/2025,110.75,209.55,161.7,55601.96,107.09,183667.58,97.51,461.15,278.8,146.98,189.26,20.11,383.27,14.42,14.48
06/08/2025,110.75,209.53,161.7,55601.71,107.09,183667.04,97.52,461.14,278.82,147,189.27,20.09,383.26,14.3,14.01
07/08/2025,110.75,209.53,161.71,55602.15,107.09,183679.75,97.51,461.14,278.76,147,189.28,20.09,383.27,14.17,13.54
08/08/2025,110.75,209.44,161.72,55604.38,107.09,183665.87,97.5,461.14,278.77,147,189.28,20.08,383.25,14.05,13.07
11/08/2025,110.76,209.43,161.72,55604.51,107.09,183665.65,97.51,461.13,278.81,146.98,189.27,20.08,383.25,13.93,12.6
12/08/2025,110.75,209.55,161.72,55604.7,107.09,183673.56,97.51,461.13,278.83,146.99,189.26,20.07,383.26,13.8,12.13
13/08/2025,110.74,209.53,161.72,55604.7,107.09,183675.24,97.52,461.13,278.85,147.01,189.26,20.07,383.25,13.68,11.66
14/08/2025,110.75,209.53,161.72,55604.54,107.09,183688.31,97.51,461.13,278.79,147.01,189.27,20.07,383.25,13.56,11.19
15/08/2025,110.75,209.44,161.72,55604.86,107.09,183676.21,97.5,461.12,278.8,147.02,189.27,20.07,383.25,13.43,10.72
18/08/2025,110.76,209.43,161.72,55604.88,107.09,183676.34,97.51,461.12,278.79,147.01,189.27,20.06,383.25,13.31,10.25
19/08/2025,110.75,209.55,161.72,55604.95,107.09,183678.38,97.51,461.13,278.77,147,189.26,20.06,383.27,13.19,9.79
20/08/2025,110.75,209.52,161.72,55604.82,107.1,183678.59,97.52,461.12,278.77,147.02,189.26,20.06,383.26,13.06,9.33
21/08/2025,110.75,209.52,161.72,55604.68,107.1,183692.3,97.51,461.12,278.72,147.02,189.27,20.05,383.26,12.94,8.86
22/08/2025,110.75,209.43,161.72,55604.67,107.1,183676.4,97.5,461.12,278.72,147.02,189.27,20.05,383.26,12.81,8.4
25/08/2025,110.77,209.43,161.73,55604.67,107.1,183676.22,97.51,461.12,278.73,147.02,189.27,20.05,383.26,12.69,7.94
26/08/2025,110.77,209.56,161.73,55610.95,107.09,183683.42,97.51,461.12,278.76,147,189.28,20.04,383.28,12.56,7.48
27/08/2025,110.77,209.54,161.73,55611.19,107.1,183683.73,97.52,461.12,278.77,147.02,189.28,20.04,383.27,12.44,7.02
28/08/2025,110.75,209.54,161.73,55611.1,107.1,183696.71,97.51,461.12,278.71,147.02,189.28,20.04,383.27,12.31,6.55
